percentCoverage,basisofrecord,country,class,totalSpeciesInCountry,totalSpeciesWith10Images,license
97.0588235294118,HUMAN_OBSERVATION,South Korea,Amphibia,34,33,total
97.0588235294118,HUMAN_OBSERVATION,South Korea,Amphibia,34,33,non-commercial
86.6666666666667,PRESERVED_SPECIMEN,French Southern Territories,Polypodiopsida,30,26,total
72.3317865429234,HUMAN_OBSERVATION,Mexico,Aves,1724,1247,total
68.1118881118881,HUMAN_OBSERVATION,Norway,Aves,715,487,total
64.2857142857143,PRESERVED_SPECIMEN,United States,Psilotopsida,70,45,total
63.7124912770412,HUMAN_OBSERVATION,Australia,Aves,1433,913,total
63.7037037037037,PRESERVED_SPECIMEN,United States,Sphagnopsida,135,86,total
60.353982300885,PRESERVED_SPECIMEN,Estonia,Liliopsida,565,341,non-commercial
60.353982300885,PRESERVED_SPECIMEN,Estonia,Liliopsida,565,341,total
60.2201257861635,HUMAN_OBSERVATION,Denmark,Aves,636,383,non-commercial
60.2201257861635,HUMAN_OBSERVATION,Denmark,Aves,636,383,total
59.5959595959596,PRESERVED_SPECIMEN,United States,Charophyceae,99,59,non-commercial
59.5959595959596,PRESERVED_SPECIMEN,United States,Charophyceae,99,59,open commercial
59.5959595959596,PRESERVED_SPECIMEN,United States,Charophyceae,99,59,total
59.1549295774648,PRESERVED_SPECIMEN,Russia,Sphagnopsida,71,42,total
57.7464788732394,PRESERVED_SPECIMEN,Russia,Sphagnopsida,71,41,open commercial
57.7464788732394,PRESERVED_SPECIMEN,Russia,Sphagnopsida,71,41,non-commercial
57.7146171693735,HUMAN_OBSERVATION,Mexico,Aves,1724,995,non-commercial
57.288765088208,PRESERVED_SPECIMEN,Brazil,Polypodiopsida,2154,1234,total
55.8139534883721,PRESERVED_SPECIMEN,Puerto Rico,Lycopodiopsida,43,24,total
55.5992141453831,HUMAN_OBSERVATION,Canada,Aves,1018,566,total
55.5555555555556,HUMAN_OBSERVATION,Norway,Mammalia,117,65,total
55.4715684590277,PRESERVED_SPECIMEN,Brazil,Magnoliopsida,40747,22603,total
54.9132947976879,PRESERVED_SPECIMEN,Cameroon,Polypodiopsida,346,190,total
54.8888888888889,HUMAN_OBSERVATION,New Zealand,Polypodiopsida,450,247,non-commercial
54.8888888888889,HUMAN_OBSERVATION,New Zealand,Polypodiopsida,450,247,total
54.8133595284872,HUMAN_OBSERVATION,Canada,Aves,1018,558,non-commercial
53.5211267605634,PRESERVED_SPECIMEN,United States,Taphrinomycetes,71,38,non-commercial
53.5211267605634,PRESERVED_SPECIMEN,United States,Taphrinomycetes,71,38,total
53.5211267605634,PRESERVED_SPECIMEN,United States,Taphrinomycetes,71,38,open commercial
53.4246575342466,HUMAN_OBSERVATION,Norway,Polypodiopsida,73,39,total
50.7070707070707,PRESERVED_SPECIMEN,Puerto Rico,Polypodiopsida,495,251,total
50,HUMAN_OBSERVATION,Italy,Amphibia,60,30,total
50,HUMAN_OBSERVATION,South Korea,Reptilia,58,29,non-commercial
50,HUMAN_OBSERVATION,South Korea,Reptilia,58,29,total
49.2857142857143,PRESERVED_SPECIMEN,United States,Marchantiopsida,140,69,total
48.936170212766,PRESERVED_SPECIMEN,Russia,Lycopodiopsida,47,23,total
48.695652173913,HUMAN_OBSERVATION,United States,Aves,3450,1680,total
47.5955480890382,PRESERVED_SPECIMEN,United States,Liliopsida,9524,4533,total
47.3880597014925,HUMAN_OBSERVATION,New Zealand,Aves,536,254,total
46.6666666666667,HUMAN_OBSERVATION,Italy,Amphibia,60,28,non-commercial
46.2962962962963,PRESERVED_SPECIMEN,Sweden,Charophyceae,54,25,non-commercial
46.2962962962963,PRESERVED_SPECIMEN,Sweden,Charophyceae,54,25,open commercial
46.2962962962963,PRESERVED_SPECIMEN,Sweden,Charophyceae,54,25,total
45.6953642384106,HUMAN_OBSERVATION,Armenia,Aves,302,138,non-commercial
45.6953642384106,HUMAN_OBSERVATION,Armenia,Aves,302,138,total
45.4545454545455,PRESERVED_SPECIMEN,Philippines,Amphibia,165,75,non-commercial
45.4545454545455,PRESERVED_SPECIMEN,Philippines,Amphibia,165,75,total
45.3571428571429,PRESERVED_SPECIMEN,Brazil,Lycopodiopsida,280,127,total
45.2476572958501,PRESERVED_SPECIMEN,Cuba,Polypodiopsida,747,338,total
44.8484848484849,PRESERVED_SPECIMEN,Philippines,Amphibia,165,74,open commercial
44.793152639087,PRESERVED_SPECIMEN,Russia,Bryopsida,1402,628,total
44.7019867549669,HUMAN_OBSERVATION,Armenia,Aves,302,135,open commercial
44.6808510638298,PRESERVED_SPECIMEN,Russia,Lycopodiopsida,47,21,open commercial
44.6808510638298,PRESERVED_SPECIMEN,Russia,Lycopodiopsida,47,21,non-commercial
44.2778216258879,PRESERVED_SPECIMEN,Malaysia,Polypodiopsida,1267,561,total
44.0798858773181,PRESERVED_SPECIMEN,Russia,Bryopsida,1402,618,open commercial
44.0798858773181,PRESERVED_SPECIMEN,Russia,Bryopsida,1402,618,non-commercial
43.6131386861314,HUMAN_OBSERVATION,South Korea,Aves,548,239,total
43.4396447315301,PRESERVED_SPECIMEN,Russia,Liliopsida,2477,1076,total
43.2481751824818,HUMAN_OBSERVATION,South Korea,Aves,548,237,non-commercial
43.1372549019608,PRESERVED_SPECIMEN,Palau,Reptilia,51,22,total
43.1372549019608,PRESERVED_SPECIMEN,Palau,Reptilia,51,22,open commercial
43.1372549019608,PRESERVED_SPECIMEN,Palau,Reptilia,51,22,non-commercial
42.72,HUMAN_OBSERVATION,Italy,Aves,625,267,total
42.2018348623853,HUMAN_OBSERVATION,Canada,Amphibia,109,46,total
42.1875,HUMAN_OBSERVATION,Taiwan,Amphibia,64,27,total
42.1875,HUMAN_OBSERVATION,Taiwan,Amphibia,64,27,non-commercial
42.1121251629726,HUMAN_OBSERVATION,United States,Amphibia,767,323,total
42.0673076923077,PRESERVED_SPECIMEN,Philippines,Reptilia,416,175,total
41.8495297805643,HUMAN_OBSERVATION,South Africa,Aves,1276,534,total
41.8461538461538,PRESERVED_SPECIMEN,United States,Lycopodiopsida,325,136,total
41.8449197860963,PRESERVED_SPECIMEN,Madagascar,Polypodiopsida,748,313,total
41.8269230769231,PRESERVED_SPECIMEN,Philippines,Reptilia,416,174,non-commercial
41.6398713826367,PRESERVED_SPECIMEN,Dominican Republic,Polypodiopsida,622,259,total
41.5009762670847,PRESERVED_SPECIMEN,United States,Magnoliopsida,36363,15091,total
41.3802435723951,HUMAN_OBSERVATION,Denmark,Agaricomycetes,3695,1529,total
41.324200913242,PRESERVED_SPECIMEN,Jamaica,Polypodiopsida,876,362,total
41.0895963242534,PRESERVED_SPECIMEN,Estonia,Magnoliopsida,3047,1252,total
41.0895963242534,PRESERVED_SPECIMEN,Estonia,Magnoliopsida,3047,1252,non-commercial
40.6779661016949,PRESERVED_SPECIMEN,Madagascar,Lycopodiopsida,59,24,total
40.5405405405405,PRESERVED_SPECIMEN,Canada,Sphagnopsida,111,45,total
40.3197158081705,HUMAN_OBSERVATION,Estonia,Aves,563,227,total
40.2597402597403,PRESERVED_SPECIMEN,Estonia,Mammalia,77,31,non-commercial
40.2597402597403,PRESERVED_SPECIMEN,Estonia,Mammalia,77,31,total
40.1993355481728,PRESERVED_SPECIMEN,Norway,Myxomycetes,301,121,total
40.1119402985075,HUMAN_OBSERVATION,New Zealand,Aves,536,215,non-commercial
40.0681044267877,PRESERVED_SPECIMEN,Norway,Liliopsida,881,353,total
39.7260273972603,PRESERVED_SPECIMEN,Norway,Polypodiopsida,73,29,total
39.68,HUMAN_OBSERVATION,Italy,Aves,625,248,non-commercial
39.6092362344583,HUMAN_OBSERVATION,Estonia,Aves,563,223,non-commercial
39.5532194480946,PRESERVED_SPECIMEN,Ukraine,Liliopsida,761,301,total
39.4495412844037,HUMAN_OBSERVATION,Canada,Amphibia,109,43,non-commercial
39.4218134034166,PRESERVED_SPECIMEN,Ukraine,Liliopsida,761,300,non-commercial
39.4218134034166,PRESERVED_SPECIMEN,Ukraine,Liliopsida,761,300,open commercial
39.2410173597093,PRESERVED_SPECIMEN,Russia,Liliopsida,2477,972,non-commercial
39.0795316915624,PRESERVED_SPECIMEN,Russia,Liliopsida,2477,968,open commercial
38.977879481312,PRESERVED_SPECIMEN,Philippines,Polypodiopsida,1311,511,total
38.4067796610169,PRESERVED_SPECIMEN,United States,Bryopsida,2950,1133,total
